Program,Sex_code,Entrance_Exam_Score,HS_GPA,risk_label,Entrance_Exam_Tier,HS_Performance_Tier,Strand_Program_Match,First_Gen_Student,Has_Scholarship,Financial_Stress,Gap_Years,Private_HS,Has_HS_Honors,Age_At_Enrollment,Age_Group,Distance_KM,Distance_Bucket,Program_Risk_Index,Municipality_Risk_Index
BIT-Electronics,M,94,75.8,0,0,2,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,118,86.1,0,0,1,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.0375,0.5
BIT-Automotive,M,124,86.6,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,M,111.56,83.8,0,0,1,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIT,M,124,82.3,0,0,1,1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BIT-Electronics,M,75,77.4,1,1,2,1,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,130,84,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,117,90.3,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,115,85.8,0,0,1,0,1,0,6,0,1,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSIE,M,116,92.3,0,0,0,2,1,1,5,0,0,1,17,traditional,82.19663955,very_far,0.054166667,0.5
BSFI,M,95,77.6,0,0,2,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,F,111,79.3,0,0,2,0,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Automotive,M,115,95.3,0,0,0,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,92,76,0,0,2,2,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.05,0.5
